F0:F2:5B:20:91:AD,name
datetime,value
2023-01-26 11:50:12.705000,4266
2023-01-26 11:50:12.705000,4266
2023-01-26 11:50:13.704000,4266
2023-01-26 11:50:14.704000,4266
2023-01-26 11:50:15.703000,4266
2023-01-26 11:50:16.704000,4266
2023-01-26 11:50:17.703000,4266
2023-01-26 11:50:18.703000,4266
2023-01-26 11:50:19.703000,3673
2023-01-26 11:50:20.703000,5096
2023-01-26 11:50:21.702000,5096
2023-01-26 11:50:22.703000,4385
2023-01-26 11:50:23.702000,5096
2023-01-26 11:50:24.702000,4266
2023-01-26 11:50:25.701000,6491
2023-01-26 11:50:26.702000,5096
2023-01-26 11:50:27.701000,3673
2023-01-26 11:50:28.701000,6281
2023-01-26 11:50:29.700000,6281
2023-01-26 11:50:30.701000,3436
2023-01-26 11:50:31.700000,5385
2023-01-26 11:50:32.700000,1185
2023-01-26 11:50:33.699000,1185
2023-01-26 11:50:34.700000,1185
2023-01-26 11:50:35.699000,1066
2023-01-26 11:50:36.699000,2692
2023-01-26 11:50:37.698000,0
2023-01-26 11:50:38.699000,2323
2023-01-26 11:50:39.698000,2323
2023-01-26 11:50:40.698000,948
2023-01-26 11:50:41.697000,948
2023-01-26 11:50:42.698000,1185
2023-01-26 11:50:43.698000,1185
2023-01-26 11:50:44.697000,1185
2023-01-26 11:50:45.698000,3436
2023-01-26 11:50:46.698000,2133
2023-01-26 11:50:47.697000,5385
2023-01-26 11:50:48.698000,5385
2023-01-26 11:50:49.697000,4385
2023-01-26 11:50:50.697000,5385
2023-01-26 11:50:51.698000,2844
2023-01-26 11:50:52.697000,5385
2023-01-26 11:50:53.697000,5096
2023-01-26 11:50:54.698000,2251
2023-01-26 11:50:55.697000,3436
2023-01-26 11:50:56.697000,4148
2023-01-26 11:50:57.696000,3436
2023-01-26 11:50:58.697000,11618
2023-01-26 11:50:59.697000,1659
2023-01-26 11:51:00.696000,5925
2023-01-26 11:51:01.697000,6491
2023-01-26 11:51:02.697000,5385
2023-01-26 11:51:03.696000,3436
2023-01-26 11:51:04.697000,1777
2023-01-26 11:51:05.696000,5016
2023-01-26 11:51:06.696000,6518
2023-01-26 11:51:07.697000,5214
2023-01-26 11:51:08.696000,5214
2023-01-26 11:51:09.696000,0
2023-01-26 11:51:10.697000,4148
2023-01-26 11:51:11.696000,4029
2023-01-26 11:51:12.696000,4385
2023-01-26 11:51:13.695000,4385
2023-01-26 11:51:14.696000,6491
2023-01-26 11:51:15.696000,4029
2023-01-26 11:51:16.695000,8077
2023-01-26 11:51:17.696000,4029
2023-01-26 11:51:18.696000,4029
2023-01-26 11:51:19.695000,4029
2023-01-26 11:51:20.696000,3436
2023-01-26 11:51:21.695000,3436
2023-01-26 11:51:22.695000,3555
2023-01-26 11:51:23.696000,3436
2023-01-26 11:51:24.695000,0
2023-01-26 11:51:25.695000,3436
2023-01-26 11:51:26.696000,3436
2023-01-26 11:51:27.695000,3436
2023-01-26 11:51:28.695000,2844
2023-01-26 11:51:29.694000,4029
2023-01-26 11:51:30.695000,4029
2023-01-26 11:51:31.695000,2844
2023-01-26 11:51:32.694000,3436
2023-01-26 11:51:33.695000,3436
2023-01-26 11:51:34.695000,4029
2023-01-26 11:51:35.694000,3436
2023-01-26 11:51:36.695000,4029
2023-01-26 11:51:37.694000,2844
2023-01-26 11:51:38.694000,3436
2023-01-26 11:51:39.695000,4029
2023-01-26 11:51:40.694000,3436
2023-01-26 11:51:41.694000,3436
2023-01-26 11:51:42.695000,3436
2023-01-26 11:51:43.694000,3436
2023-01-26 11:51:44.694000,3436
2023-01-26 11:51:45.693000,4029
2023-01-26 11:51:46.694000,4029
2023-01-26 11:51:47.694000,4029
2023-01-26 11:51:48.693000,4266
2023-01-26 11:51:49.694000,5214
2023-01-26 11:51:50.694000,5214
2023-01-26 11:51:51.693000,5214
2023-01-26 11:51:52.694000,5096
