FD:A1:04:E0:B2:92,name
datetime,value
2023-01-26 11:50:51.568000,7708
2023-01-26 11:50:51.568000,7708
2023-01-26 11:50:52.569000,2488
2023-01-26 11:50:53.568000,7708
2023-01-26 11:50:54.568000,7708
2023-01-26 11:50:55.567000,2725
2023-01-26 11:50:56.568000,3318
2023-01-26 11:50:57.567000,7708
2023-01-26 11:50:58.567000,3318
2023-01-26 11:50:59.566000,5385
2023-01-26 11:51:00.567000,3081
2023-01-26 11:51:01.566000,3673
2023-01-26 11:51:02.566000,1185
2023-01-26 11:51:03.565000,2488
2023-01-26 11:51:04.566000,3318
2023-01-26 11:51:05.565000,3061
2023-01-26 11:51:06.565000,7708
2023-01-26 11:51:07.564000,7708
2023-01-26 11:51:08.565000,7708
2023-01-26 11:51:09.564000,5385
2023-01-26 11:51:10.564000,3061
2023-01-26 11:51:11.563000,5385
2023-01-26 11:51:12.564000,3061
2023-01-26 11:51:13.563000,3061
2023-01-26 11:51:14.563000,2488
2023-01-26 11:51:15.562000,2488
2023-01-26 11:51:16.563000,2488
2023-01-26 11:51:17.562000,2488
2023-01-26 11:51:18.562000,2488
2023-01-26 11:51:19.561000,2488
2023-01-26 11:51:20.562000,2488
2023-01-26 11:51:21.561000,2488
2023-01-26 11:51:22.561000,3061
2023-01-26 11:51:23.560000,3061
2023-01-26 11:51:24.561000,7708
2023-01-26 11:51:25.560000,5385
2023-01-26 11:51:26.560000,2488
2023-01-26 11:51:27.559000,3061
2023-01-26 11:51:28.560000,3061
2023-01-26 11:51:29.559000,3061
2023-01-26 11:51:30.559000,3061
2023-01-26 11:51:31.558000,3061
2023-01-26 11:51:32.559000,3061
2023-01-26 11:51:33.558000,3061
2023-01-26 11:51:34.558000,3061
2023-01-26 11:51:35.557000,3061
2023-01-26 11:51:36.558000,3061
2023-01-26 11:51:37.557000,3061
2023-01-26 11:51:38.557000,3061
2023-01-26 11:51:39.556000,3061
2023-01-26 11:51:40.557000,3061
2023-01-26 11:51:41.556000,7340
2023-01-26 11:51:42.556000,2488
2023-01-26 11:51:43.555000,3061
2023-01-26 11:51:44.556000,7340
2023-01-26 11:51:45.555000,3061
2023-01-26 11:51:46.555000,3061
2023-01-26 11:51:47.554000,2488
2023-01-26 11:51:48.555000,7708
2023-01-26 11:51:49.554000,7708
2023-01-26 11:51:50.554000,7708
2023-01-26 11:51:51.553000,7708
2023-01-26 11:51:52.554000,7708
2023-01-26 11:51:53.553000,7708
2023-01-26 11:51:54.553000,7708
2023-01-26 11:51:55.552000,7708
2023-01-26 11:51:56.553000,7708
2023-01-26 11:51:57.552000,7708
2023-01-26 11:51:58.552000,1777
2023-01-26 11:51:59.552000,1777
2023-01-26 11:52:00.552000,2725
2023-01-26 11:52:01.551000,2725
2023-01-26 11:52:02.552000,3318
2023-01-26 11:52:03.551000,3061
2023-01-26 11:52:04.551000,2488
2023-01-26 11:52:05.550000,2488
2023-01-26 11:52:06.551000,2725
2023-01-26 11:52:07.550000,2725
2023-01-26 11:52:08.550000,3061
2023-01-26 11:52:09.549000,7340
2023-01-26 11:52:10.550000,829
2023-01-26 11:52:11.549000,829
2023-01-26 11:52:12.549000,1185
2023-01-26 11:52:13.548000,948
2023-01-26 11:52:14.549000,829
2023-01-26 11:52:15.548000,829
2023-01-26 11:52:16.548000,1066
2023-01-26 11:52:17.547000,1777
2023-01-26 11:52:18.548000,1185
2023-01-26 11:52:19.547000,948
2023-01-26 11:52:20.547000,1777
2023-01-26 11:52:21.546000,7708
2023-01-26 11:52:22.547000,2725
2023-01-26 11:52:23.546000,3081
2023-01-26 11:52:24.546000,2725
