,heart_rate,heart_rate_max,heart_rate_min,start_time,end_time
0,77,82,74,2023-01-24 22:59:00,2023-01-24 22:59:59
1,76,82,72,2023-01-24 22:58:00,2023-01-24 22:58:59
2,74,77,71,2023-01-24 22:57:00,2023-01-24 22:57:59
3,76,81,73,2023-01-24 22:56:00,2023-01-24 22:56:59
4,77,80,76,2023-01-24 22:55:00,2023-01-24 22:55:59
5,82,86,78,2023-01-24 22:54:00,2023-01-24 22:54:59
6,79,84,76,2023-01-24 22:53:00,2023-01-24 22:53:59
7,77,83,73,2023-01-24 22:52:00,2023-01-24 22:52:59
8,82,88,75,2023-01-24 22:51:00,2023-01-24 22:51:59
9,79,86,75,2023-01-24 22:50:00,2023-01-24 22:50:59
10,77,80,76,2023-01-24 22:49:00,2023-01-24 22:49:59
11,75,81,70,2023-01-24 22:48:00,2023-01-24 22:48:59
12,82,95,72,2023-01-24 22:47:00,2023-01-24 22:47:59
13,82,95,79,2023-01-24 22:46:00,2023-01-24 22:46:59
14,76,82,75,2023-01-24 22:45:00,2023-01-24 22:45:59
15,81,88,76,2023-01-24 22:44:00,2023-01-24 22:44:59
16,82,87,79,2023-01-24 22:43:00,2023-01-24 22:43:59
17,85,91,80,2023-01-24 22:42:00,2023-01-24 22:42:59
18,80,90,74,2023-01-24 22:41:00,2023-01-24 22:41:59
19,81,84,79,2023-01-24 22:40:00,2023-01-24 22:40:59
20,83,88,78,2023-01-24 22:39:00,2023-01-24 22:39:59
21,84,95,78,2023-01-24 22:38:00,2023-01-24 22:38:59
22,81,85,79,2023-01-24 22:37:00,2023-01-24 22:37:59
23,78,85,76,2023-01-24 22:36:00,2023-01-24 22:36:59
24,79,84,73,2023-01-24 22:35:00,2023-01-24 22:35:59
25,79,87,76,2023-01-24 22:34:00,2023-01-24 22:34:59
26,78,82,73,2023-01-24 22:33:00,2023-01-24 22:33:59
27,75,83,71,2023-01-24 22:32:00,2023-01-24 22:32:59
28,83,90,78,2023-01-24 22:31:00,2023-01-24 22:31:59
29,76,81,75,2023-01-24 22:30:00,2023-01-24 22:30:59
30,77,80,75,2023-01-24 22:29:00,2023-01-24 22:29:59
31,78,89,74,2023-01-24 22:28:00,2023-01-24 22:28:59
32,80,87,75,2023-01-24 22:27:00,2023-01-24 22:27:59
33,79,83,76,2023-01-24 22:26:00,2023-01-24 22:26:59
34,81,84,79,2023-01-24 22:25:00,2023-01-24 22:25:59
35,78,80,78,2023-01-24 22:24:00,2023-01-24 22:24:59
36,79,83,78,2023-01-24 22:23:00,2023-01-24 22:23:59
37,82,85,80,2023-01-24 22:22:00,2023-01-24 22:22:59
38,83,91,79,2023-01-24 22:21:00,2023-01-24 22:21:59
39,84,91,80,2023-01-24 22:20:00,2023-01-24 22:20:59
40,88,94,86,2023-01-24 22:19:00,2023-01-24 22:19:59
41,89,93,86,2023-01-24 22:18:00,2023-01-24 22:18:59
42,87,93,82,2023-01-24 22:17:00,2023-01-24 22:17:59
43,83,87,77,2023-01-24 22:16:00,2023-01-24 22:16:59
44,84,90,81,2023-01-24 22:15:00,2023-01-24 22:15:59
45,77,82,74,2023-01-24 22:14:00,2023-01-24 22:14:59
46,77,85,73,2023-01-24 22:13:00,2023-01-24 22:13:59
47,85,91,74,2023-01-24 22:12:00,2023-01-24 22:12:59
48,90,90,90,2023-01-24 22:11:00,2023-01-24 22:11:59
49,84,92,81,2023-01-24 22:10:00,2023-01-24 22:10:59
50,83,88,80,2023-01-24 22:09:00,2023-01-24 22:09:59
51,86,91,80,2023-01-24 22:08:00,2023-01-24 22:08:59
52,80,84,78,2023-01-24 22:07:00,2023-01-24 22:07:59
53,82,86,76,2023-01-24 22:06:00,2023-01-24 22:06:59
54,87,93,83,2023-01-24 22:05:00,2023-01-24 22:05:59
55,92,94,89,2023-01-24 22:04:00,2023-01-24 22:04:59
56,88,94,86,2023-01-24 22:03:00,2023-01-24 22:03:59
57,93,98,90,2023-01-24 22:02:00,2023-01-24 22:02:59
58,92,97,88,2023-01-24 22:01:00,2023-01-24 22:01:59
59,88,96,82,2023-01-24 22:00:00,2023-01-24 22:00:59
