com.samsung.shealth.tracker.pedometer_step_count,6227003,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
3375,4,0,10,2023-01-22 22:32:00.000,,,2023-01-22 22:34:59.922,2023-01-22 22:34:59.922,10,2.5,8.44,0.55,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-22 22:33:00.000,70d70afc-19e0-45ee-9ef4-8f8e20bf0216,
17898,4,0,23,2023-01-22 23:39:00.000,,,2023-01-22 23:39:31.370,2023-01-22 23:39:31.370,23,0.8888889,15.91,0.88,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-22 23:40:00.000,73a381bc-8404-41f8-a9de-cd86b3d28b1d,
5213,4,0,10,2023-01-23 00:01:00.000,,,2023-01-23 00:01:57.665,2023-01-23 00:01:57.665,10,1.5,7.82,0.34,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 00:02:00.000,ac37157e-e08b-4443-a8ca-c16ed7518b5f,
13989,4,0,25,2023-01-23 01:05:00.000,,,2023-01-23 01:05:37.513,2023-01-23 01:05:13.291,25,1.3560498,18.96999,0.83000106,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 01:06:00.000,9fbbca49-71f2-42d1-9c53-10ecfb04b5a4,
8104,4,0,13,2023-01-22 22:34:00.000,,,2023-01-22 22:35:00.020,2023-01-22 22:35:00.020,13,1.1388888,9.23,0.49,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-22 22:35:00.000,7a11a0a7-ad3c-467a-85bf-0b386d56a338,
13422,4,0,28,2023-01-22 23:54:00.000,,,2023-01-22 23:54:42.311,2023-01-22 23:54:05.444,28,1.6456947,22.090002,1.0100006,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-22 23:55:00.000,41d789b9-5348-430d-b8ee-f31775504e34,
8522,4,0,16,2023-01-23 00:03:00.000,,,2023-01-23 00:03:44.259,2023-01-23 00:03:44.259,16,1.4444444,12.31,0.57,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 00:04:00.000,cb652e55-4bbd-4ccf-bfa5-319797821344,
6180,4,0,10,2023-01-22 22:35:00.000,,,2023-01-22 22:36:03.574,2023-01-22 22:36:03.574,10,1.1666666,7.21,0.39,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-22 22:36:00.000,a4114c8c-abb9-49b4-b5b3-524ddcbfb236,
22505,4,0,37,2023-01-22 23:36:00.000,,,2023-01-22 23:37:14.064,2023-01-22 23:36:08.321,37,1.2094933,27.220001,1.28,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-22 23:37:00.000,8b5128cb-3b79-410a-82ee-b21c2fdddf39,
20060,4,0,32,2023-01-23 01:12:00.000,,,2023-01-23 01:13:00.004,2023-01-23 01:12:59.777,32,1.1405352,22.880005,1.1000004,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 01:13:00.000,030d4dd5-126d-4087-bbe4-dc2006c40b32,
12415,4,2,21,2023-01-22 23:56:00.000,,,2023-01-22 23:57:08.290,2023-01-22 23:56:10.065,23,1.4312263,17.77,1.06,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-22 23:57:00.000,08553d26-25bd-43de-aa6b-3be86b2e6567,
10601,4,0,18,2023-01-22 23:37:00.000,,,2023-01-22 23:38:24.428,2023-01-22 23:37:14.134,18,1.2526197,13.280001,0.65999997,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-22 23:38:00.000,725c53ba-a73f-4e90-bdfd-7fe8d0a02508,
