com.samsung.health.floors_climbed,6233003,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2023-01-23 08:56:09.000,,2023-01-23 08:56:16.460,2023-01-23 08:56:16.460,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 08:56:16.000,d41a4343-d736-4f36-949d-c7c2aea47a05,
2023-01-26 19:23:09.000,,2023-01-26 19:32:13.684,2023-01-26 19:32:13.384,5.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-26 19:25:01.000,03e9e619-8fe8-4e6b-b266-1dd2ab299b4b,
2023-02-09 22:52:08.000,,2023-02-09 23:00:07.063,2023-02-09 23:00:07.063,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-09 22:52:16.000,ae97d230-9cb6-4007-8b30-b6f1387c9a30,
2023-02-11 19:48:53.000,,2023-02-11 19:51:20.853,2023-02-11 19:51:20.853,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-11 19:48:59.000,0e458f38-5ef7-4602-9255-cf3f889e3b44,
2023-01-23 09:05:13.000,,2023-01-23 09:44:42.397,2023-01-23 09:44:42.397,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 09:05:20.000,b3822b2e-fec1-43b2-8a2e-00576e232102,
2023-02-01 18:03:28.001,,2023-02-01 18:07:07.645,2023-02-01 18:07:07.645,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-01 18:03:37.001,a76743cc-a0ae-423f-ae56-9210ce11520c,
2023-02-09 22:54:40.000,,2023-02-09 23:00:07.516,2023-02-09 23:00:07.516,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-09 22:54:49.000,aff8e37c-114a-424e-975a-3c6df1e9aece,
2023-02-12 04:09:09.000,,2023-02-12 04:24:33.952,2023-02-12 04:24:33.952,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-12 04:09:15.000,1777416b-2296-43f8-978c-9095f0ae850e,
2023-02-12 15:11:50.999,,2023-02-12 15:31:02.168,2023-02-12 15:31:02.168,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-12 15:11:59.999,aa52a1d2-ded0-404c-91fc-6eb9f5d1b600,
2023-02-12 14:27:54.000,,2023-02-12 14:29:49.914,2023-02-12 14:29:49.914,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-12 14:28:03.000,8785daae-a228-4413-ab9e-027c20472b99,
2023-02-13 00:36:15.999,,2023-02-13 00:50:28.346,2023-02-13 00:50:28.346,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-13 00:36:23.999,e84d0e85-0052-494f-9692-4847f247dc0a,
2023-02-13 01:28:59.001,,2023-02-13 01:33:52.185,2023-02-13 01:33:52.185,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-13 01:29:08.001,af3cf329-9c85-44ef-a31a-cd5c6252b9ed,
2023-02-13 00:58:00.999,,2023-02-13 01:05:52.517,2023-02-13 01:05:52.517,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-13 00:58:09.999,2501a797-a457-4dc6-bc90-8d0d7169fb56,
2023-02-13 18:33:53.000,,2023-02-13 18:47:06.418,2023-02-13 18:47:06.418,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-13 18:34:01.000,914b86dc-4eae-4cf7-8a7b-27be0d76eec6,
2023-02-25 04:30:12.000,,2023-02-25 04:59:27.274,2023-02-25 04:59:27.274,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-25 04:30:25.000,2ae00bb5-e04c-4193-8ae4-b3aa656767a8,
2023-02-28 09:59:25.000,,2023-02-28 10:23:24.089,2023-02-28 10:23:24.089,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-28 09:59:32.000,275594d0-3930-4bab-9336-db4201ca889e,
2023-02-25 05:04:00.001,,2023-02-25 05:05:33.621,2023-02-25 05:05:33.621,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-25 05:04:29.001,45c6654e-0054-4792-91b5-e5b2db56c7b6,
2023-01-23 09:09:47.000,,2023-01-23 09:44:42.559,2023-01-23 09:44:42.559,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 09:09:54.000,aeea6ba8-0be4-49f0-88be-aadf7c444cc4,
