com.samsung.shealth.preferences,6233003,2
text_value,service_id,float_value,update_time,create_time,long_value,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,,2023-01-26 17:10:28.866,2023-01-26 17:10:03.751,,,,0,aZEautf6/t,com.sec.android.app.shealth,,settings.marketing_agreement,
,,,2023-01-22 22:36:46.613,2023-01-22 22:36:44.688,,,stress.breath_settings.blob_value.json,,iRIQdWw88T,com.sec.android.app.shealth,,stress.breath_settings,
,,,2023-03-08 05:22:17.393,2023-01-22 23:33:05.664,,,,1,aZEautf6/t,com.sec.android.app.shealth,,step.detectworkout_switch,
,tracker.exercise,,2023-01-26 17:10:30.031,2023-01-26 17:10:30.031,,,34-workout_list.blob_value.json,,aZEautf6/t,com.sec.android.app.shealth,,34-workout_list,
,tracker.heartrate,,2023-01-24 03:02:46.002,2023-01-24 03:02:46.002,,,,0,iRIQdWw88T,com.sec.android.app.shealth,,05-measure.period,
,,,2023-01-28 19:38:35.476,2023-01-28 19:38:35.515,,,,1,aZEautf6/t,com.sec.android.app.shealth,,oobe.sensitive_data_available,
,,,2023-01-28 19:44:48.776,2023-01-26 17:10:30.813,,,,1,aZEautf6/t,com.sec.android.app.shealth,,together.setting_gc_invitation,
,tracker.heartrate,,2023-01-24 03:02:59.093,2023-01-24 03:02:59.093,,,,1,iRIQdWw88T,com.sec.android.app.shealth,,05-alert.low.enable,
,,,2023-01-28 19:44:48.782,2023-01-26 17:10:30.818,,,,0,aZEautf6/t,com.sec.android.app.shealth,,together.setting_ld_auto_addition,
,tracker.stress,,2023-01-24 03:03:13.005,2023-01-24 03:03:13.005,,,,0,iRIQdWw88T,com.sec.android.app.shealth,,08-measure.period,
,,,2023-01-28 19:44:48.781,2023-01-26 17:10:30.831,,,,0,aZEautf6/t,com.sec.android.app.shealth,,together.setting_exposure_level,
,tracker.spo2,,2023-01-24 03:03:17.141,2023-01-24 03:03:17.141,,,,0,iRIQdWw88T,com.sec.android.app.shealth,,10-measure.period,
,tracker.exercise,,2023-01-26 17:10:30.031,2023-01-26 17:10:30.031,,,34-favorite_list.blob_value.json,,aZEautf6/t,com.sec.android.app.shealth,,34-favorite_list,
,tracker.heartrate,,2023-01-24 03:02:58.375,2023-01-24 03:02:58.375,,,,1,iRIQdWw88T,com.sec.android.app.shealth,,05-alert.high.enable,
